id,first_name,last_name,email,password,username,phone,status
4027685f-70ed-415a-a00c-6436e6ca0641,Lori,Green,kzhang@example.org,(nV3VkGm@2,8970fe24-945e-4eeb-8495-a459f180469b,(643)623-3653x8809,inactive
ae6b22b1-7669-49cb-ac19-6ee4dc93c62e,Sabrina,Kirk,rayjohn@example.org,Ym$0Wk1!E%,6728364d-bed3-4afe-be44-9f5d8f86b38e,814.963.6738,inactive
802aebfb-0488-451a-bbe1-b08f8d045aa8,Thomas,Ellis,brett86@example.org,_wH6I+eY@b,f8e005ca-abd7-4371-82db-ca411a3e7b2a,(843)729-2413x0968,active
43d0d816-36af-4b45-bee3-36c40aa517a0,Glenn,Whitehead,heather55@example.org,)eUiEJmLx9,43d88888-a380-4403-9ddf-3148dfec7b4e,4235732207,suspended
8ac22650-1d5b-49c8-99c5-2e18f8e9dd31,Carolyn,King,donnawalker@example.com,3^GBQ#wR$1,394e8fff-7284-444c-bef9-691323bcaa8f,+1-771-561-4110,active
0bf6a610-f218-4390-ace1-28b04d979322,Dustin,Castro,tara21@example.com,(57+HF3w%P,ae82a40e-00ae-4ec3-a297-ce08fba0d539,001-305-401-5843x132,inactive
f9f9c2f0-d703-44ef-8a47-898c3c0c2759,Steven,Smith,richard11@example.org,@l4L)Tid@@,d958170a-cbef-4b27-961b-62c5d518d917,341-872-7984,suspended
772ffbc5-31ac-4f69-b97e-db0e8975303d,Joseph,Thompson,gregory46@example.net,96S$3+NnFK,21f7ce27-e406-45ac-ae3b-830daa2bc584,(670)536-9483x076,deleted
41dd973e-3e34-4f84-8142-283fb2c3eb67,Eric,Davis,mccannjoshua@example.net,L9KK^Dbk+T,653c552a-d5f5-4276-aaae-058d8b19c711,(231)478-7146x013,active
0f3c0305-2f04-4afb-85c8-81b1f467d78b,Alan,Parks,brownphilip@example.org,P905WyAnP&,90caf34c-1441-4e98-a705-907e11fb0898,202-417-9321x09513,deleted
