id,first_name,last_name,email,password,username,phone,status,points,course_id,cohort_id
36d1d133-2bc5-43c2-adcb-b6cfc3c727d0,Michelle,Flores,brian55@example.org,58ZAVwoI((,710b30bc-a91e-49b0-96b4-65e34a96e2f0,480-698-9696,deleted,11,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f586d326-b3c1-4b11-8d5c-c76af99ae3a5
cc8862d1-8a1d-42e2-b3a8-9a8495ef7d43,Daniel,White,dana02@example.com,fxbW0sKl*A,e4113e52-0f68-4de7-82fa-0b2969ac4956,810.501.0885,deleted,59,3911c1a2-8af9-48ed-ae02-6bec7c14df75,14b46f80-e765-4db1-aa97-f4aab596f9ae
216b0908-2219-482b-9e22-866f6fe4556d,Madison,Wallace,bruce30@example.org,54yYCj%o)q,1a6b473a-6e97-4673-916d-fd8d3929cde1,+1-610-593-3665x18894,active,43,786d52d9-bacb-46bc-ba31-c976b3be7f27,916a3a28-377b-44db-bc7f-6a3ba62f9f19
581f73ad-5965-428c-aed4-5a0c29c36098,Brandy,Mccormick,omason@example.com,)xRGIAd2@8,bfd52468-2c54-48c0-a77e-c8b6ac613bb0,(943)565-3845x824,inactive,40,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f586d326-b3c1-4b11-8d5c-c76af99ae3a5
694500c0-b993-4248-8dfa-a172345d878b,Karen,Adams,cynthia75@example.com,#ZeGlYpwn1,9d960fe5-5788-4b35-b77c-3f3cb1b7f478,(470)364-4109,suspended,66,7e709b77-413d-453a-9bfc-895b4620bd13,9c2e85a6-0b78-4a30-bef1-9ea3961375db
1650e709-5ca2-4349-ab7e-23d1fe49674d,Dana,Patterson,scole@example.net,U5MQQomq$U,e209939a-ecf4-48b5-b83b-869ae697961f,3247991602,active,23,786d52d9-bacb-46bc-ba31-c976b3be7f27,a4e80201-9c35-4b7b-9841-01be1744b2cf
83c8c5f6-19f3-40b4-9242-b63fff4ff847,Ryan,Gonzalez,mendozakristen@example.com,H$N2PGIg%#,d02e3107-5652-427e-b29d-f298b4f82820,642-956-9013x324,suspended,32,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f4e26d72-5458-4337-be69-34e17f626363
a4889f41-097a-4215-bde8-c7f4d8c10972,Jessica,Parker,billy28@example.org,+60mJOZu)U,5b445851-8b9f-4ca9-a9f3-08f357ea4a2d,(519)888-7755,active,55,786d52d9-bacb-46bc-ba31-c976b3be7f27,a4e80201-9c35-4b7b-9841-01be1744b2cf
8d3976a3-f56c-4ab0-848e-2e25672ccf54,Brianna,Johnson,katherinejohnson@example.com,xf@W5Nf(nW,dff2c5b8-4441-4ff8-bf5d-ee3094063938,(457)745-7900,deleted,66,7e709b77-413d-453a-9bfc-895b4620bd13,9c2e85a6-0b78-4a30-bef1-9ea3961375db
36809d97-4253-4b9a-a535-8b94e6929b7e,Jodi,Collins,fgarcia@example.net,bB9uvYh!#C,b4aec6f2-44e2-4cea-aecc-9edb15fbccf9,507-302-8192x69116,deleted,35,786d52d9-bacb-46bc-ba31-c976b3be7f27,916a3a28-377b-44db-bc7f-6a3ba62f9f19
9710b987-3dd9-445e-86fb-b258337d0d21,Shane,Garcia,marquezlauren@example.org,#U6ErMnsg4,98760362-5ce9-44ee-8dbe-fc97a17c94ed,221-693-6605x676,inactive,65,7e709b77-413d-453a-9bfc-895b4620bd13,264d402f-08bd-4de9-8854-d5fdf9c608cc
bb07e2e9-0e34-433c-abe8-66252ae3570a,Erin,Hardin,woodsmaria@example.org,(tF7YiVn&C,9a45c1eb-8550-42b1-ac00-1808d16a0d5c,+1-600-751-9394x0604,suspended,49,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f049c3d4-de78-4b15-9925-b4472cf547e1
0f0dfdb9-0ff4-4d45-82bc-6ee303a17b48,Christina,Vasquez,codyroberts@example.org,+jfIs40z8+,31167113-b880-4886-9e3e-fc0079ecc4fe,833-218-7791x60248,suspended,76,7e709b77-413d-453a-9bfc-895b4620bd13,264d402f-08bd-4de9-8854-d5fdf9c608cc
b790464d-7d67-47cf-a3f6-dc4a741e9ed9,Gabriel,Allen,gardneranna@example.net,jgu3@mBl#%,041391b8-ff1b-41a9-ae70-b0dc6ef967d1,8902478005,inactive,77,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f049c3d4-de78-4b15-9925-b4472cf547e1
4e60664a-82d6-4988-afb4-5eaebd496278,Lisa,Rivera,crystal21@example.net,$1D!vq1rky,2604aa84-beba-4a42-9da0-f888c1034c17,529-833-1126x326,deleted,8,3911c1a2-8af9-48ed-ae02-6bec7c14df75,f049c3d4-de78-4b15-9925-b4472cf547e1
