id,first_name,last_name,email,password,username,phone,status
862ce08b-6f50-405b-a5b9-f6cce0527208,Jamie,Zamora,vanceangela@example.com,Gc4pIz2!d@,6b2fb6f2-9926-4204-b7dc-e37c6ea332b6,452.892.8441x9474,active
1153800a-293e-4870-898a-ea5d64238349,Hannah,Lane,dvargas@example.org,kWO*^Hgs#9,d6100492-b173-4738-a4b5-4477a92e1d7a,+1-255-890-3929x91846,inactive
2eb2b3a4-e7a2-4b8f-a103-dd5b649b696c,Michael,Love,bridget70@example.org,BKC38SPoX#,21c170d7-64f3-4f51-b29e-dd0dcd5a4881,+1-271-509-3801x832,deleted
f76ca145-1edd-4d0d-bcf2-914bb3c86b54,Jenna,Marquez,dmcpherson@example.org,%ha@JM%76a,421cedc8-cb96-4bb5-9220-7d61fdc7c53a,3303204562,active
2345f52d-f643-4c31-9c59-36d60a405fc9,Scott,Fisher,brownpedro@example.org,(n$0CYjvRx,2a009d01-7d63-4b9d-a597-9d43e613142a,+1-560-850-5021,deleted
ba7565e8-d4fe-4f6c-bc79-b341dfb62282,Robert,Williams,vpowell@example.com,$d#15tYsI8,b6040e34-420b-4d20-b105-4e2d101aca03,+1-859-647-0380x8298,suspended
84805458-c123-4c7b-82d0-71c52e8ab7d8,Debra,White,tpatterson@example.net,_a3CHXi6dm,77fb8dc8-0ee1-448f-a28b-a508a97c80c9,(204)870-0733,active
f92c079b-efd8-4d31-bd86-d2bda57a3a18,Seth,Mendez,mason61@example.net,ouMu5Jmf#p,a76c74db-fb68-4bea-a758-170c6c120f18,360.780.0135,active
cc104055-6b93-43df-bc48-037fb38b9ed0,Andrew,Hinton,chrissullivan@example.net,#6AdBhrhTF,47b7e322-8f8b-4e36-9f1e-4e2c72859974,564.949.7810x4859,deleted
8534714c-2205-4900-9727-ae08f5d818f6,Anna,Ayala,strongbill@example.org,+6GMBB4gb1,49d8a436-b194-4d1c-b0d8-ae456304718d,001-427-647-6221x083,inactive
a8b3eaaa-bc33-4cb7-888c-ba94588a3edf,Kimberly,Valentine,fishermichelle@example.net,_0JQ9ECkMF,6279bb73-f2e3-4527-94b6-cea146d3d353,859-514-5248,deleted
7c18b5ec-5f48-4f6f-9412-152bec2b03f7,Jim,Johnson,sarahwright@example.net,#)948MPcfs,f0eb4408-ac3d-4adc-a056-afc837924a7a,(490)520-9531,suspended
34cf7ed2-8e4c-4d7a-b383-e4624fd53bc5,Thomas,Woods,snydermichael@example.net,$473vXl#_T,ed58d09e-802a-44a6-9e85-82faa814796d,(262)745-1790x22027,suspended
68a8d482-86a5-47e9-a5e3-fbaa35d82aad,Becky,Patterson,carlosstevens@example.org,!8r&))XwHt,c45258a1-79c0-4d5f-bb1e-8a18057cdbd0,+1-701-795-9128x547,suspended
9079b46d-6dc6-4234-90e6-9e234250e38f,Taylor,Burnett,jamesjohnson@example.com,#mqk7It#Kl,3eea035f-6b84-4841-982a-0e6340f51f00,+1-583-772-5603x6229,active
